,start_date,end_date,entry_nifty,entry_banknifty,entry_tte,entry_raw_pnl,exit_nifty,exit_banknifty,exit_tte,exit_raw_pnl,trade_type,net_profit,net_return,invested_value
0,2021-01-07 15:25:00,2021-01-08 09:15:00,0.18153249999999999,0.24954700000000002,21.0,0.5730005199578937,0.1721645,0.248203,20.0,0.6190910676453781,1.0,0.04609054768748444,0.08043718300791657,0.5730005199578937
1,2021-01-11 09:15:00,2021-01-11 12:30:00,0.181029,0.2724105,17.0,0.6640068009444532,0.1971225,0.2766105,17.0,0.5775848787060036,-1.0,0.08642192223844958,0.1301521642783281,0.6640068009444532
2,2021-01-11 12:36:00,2021-01-11 13:52:00,0.19001849999999998,0.2766895,17.0,0.629778822241446,0.1880085,0.2681115,17.0,0.5820536626784801,-1.0,0.04772515956296586,0.07578082634329816,0.629778822241446
3,2021-01-12 09:18:00,2021-01-12 09:30:00,0.1918605,0.280219,16.0,0.6153643355760047,0.19370300000000001,0.2737135,16.0,0.5572254867568361,-1.0,0.05813884881916853,0.09447874284873584,0.6153643355760047
4,2021-01-12 10:24:00,2021-01-13 13:33:00,0.1938465,0.2818285,16.0,0.6127422372793565,0.19589600000000001,0.280991,15.0,0.5664582730052756,-1.0,0.04628396427408088,0.07553578235374603,0.6127422372793565
5,2021-01-15 12:11:00,2021-01-18 13:05:00,0.1977275,0.2725905,13.0,0.45084532775600167,0.2267955,0.3096135,10.0,0.41507324314543415,1.0,-0.03577208461056752,-0.0793444722796982,0.45084532775600167
6,2021-01-20 09:17:00,2021-01-22 09:27:00,0.1875345,0.2517965,8.0,0.27549722499802903,0.177066,0.2443575,6.0,0.23586640329046962,1.0,-0.03963082170755941,-0.14385198147764625,0.27549722499802903
7,2021-01-22 13:42:00,2021-01-22 15:23:00,0.209062,0.2973955,6.0,0.3096216451566497,0.1856515,0.2586635,6.0,0.2559175800367619,-1.0,0.05370406511988776,0.17345061613091287,0.3096216451566497
8,2021-01-25 09:38:00,2021-01-25 09:46:00,0.22223500000000002,0.3152025,31.0,1.0286895738842101,0.246817,0.3085295,3.0,0.1331551654404321,-1.0,0.8955344084437779,0.8705584572635902,1.0286895738842101
9,2021-01-25 09:48:00,2021-01-25 09:50:00,0.24824849999999998,0.293085,3.0,0.09674233867158084,0.22481800000000002,0.31470149999999997,31.0,0.9945649750097761,1.0,0.8978226363381956,9.280555428643376,0.09674233867158084
10,2021-01-25 09:51:00,2021-01-25 10:04:00,0.2238255,0.325585,31.0,1.1259734497934257,0.2246165,0.2982455,31.0,0.814708200559556,-1.0,0.31126524923386967,0.2764410202487237,1.1259734497934257
11,2021-01-25 10:07:00,2021-01-25 10:15:00,0.216422,0.318723,3.0,0.2207317250106808,0.218937,0.281589,3.0,0.13518229572896817,-1.0,0.08554942928171272,0.3875719689934609,0.2207317250106808
